link,Engine Capacity,Seat Capacity,Colour
https://www.carlist.my/used-cars/2007-mercedes-benz-e200k-1-8-elegance-sedan-facelift-low-mileage-one-owner-call-now/6555771,1796 cc,5,Silver
https://www.carlist.my/used-cars/2004-mercedes-benz-c200k-1-8-avantgarde-sedan-one-vip-owner-original-mileage-c200/6555308,1796 cc,5,Blue
https://www.carlist.my/used-cars/2017-mazda-2-1-5-skyactiv-g-sedan-full-service-record-by-mazda-original-paint-full-leather-seat-full-spec-call-now/6555277,1496 cc,5,Red
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-a-e-spec/6635009,1497 cc,5,White
https://www.carlist.my/used-cars/2013-honda-cr-v-2-0-i-vtec-suv/6649237,1997 cc,5,Grey
https://www.carlist.my/used-cars/2013-honda-civic-1-8-a-s-i-vtec-sedan/6555788,1798 cc,5,Grey
https://www.carlist.my/used-cars/2016-honda-jazz-1-5-a-e-spec-full-service-honda/6615243,1497 cc,5,Red
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543510,1969 cc,5,Black
https://www.carlist.my/used-cars/2016-proton-iriz-1-6-premium-hatchback-only-21-000-kms/6641257,1597 cc,5,Red
https://www.carlist.my/used-cars/2014-lamborghini-huracan-5-2-lp610-4-coupe/6652459,5204 cc,2,Silver
https://www.carlist.my/used-cars/2018-toyota-sienta-1-5-v-mpv-a-used-car/6359166,1496 cc,7,Red
https://www.carlist.my/used-cars/2015-toyota-camry-a-2-5-hybrid/6639517,2494 cc,5,Grey
https://www.carlist.my/used-cars/many-colour-unit-to-choose-superb-condition-2019-bmw-330i-2-0-m-sport-sedan-view-to-believe-no-hidden-info/6499357,1998 cc,5,Blue
https://www.carlist.my/used-cars/under-warranty-genuine-low-mileage-2019-bmw-x1-2-0-sdrive20i-suv-ramathan-promotion/6688354,1998 cc,5,Black
https://www.carlist.my/used-cars/mitsubishi-asx-2-0-a-facelift-2014-2wd-suvs/6473631,1998 cc,5,White
https://www.carlist.my/used-cars/bmw-328i-2-0-a-f30-2012-luxury-full-spec-free-one-year-warranty/6569923,1997 cc,5,Black
https://www.carlist.my/used-cars/bmw-528i-2-0-a-f10-lci-m-sport-twin-power-turbo-245hp-2015/6573321,1997 cc,5,White
https://www.carlist.my/used-cars/2003-mercedes-benz-c180k-1-8-classic-sedan/6584166,1796 cc,5,White
https://www.carlist.my/used-cars/2001-bmw-x5-3-0-suv/6293469,2979 cc,5,Black
https://www.carlist.my/used-cars/2005-mercedes-benz-a170-1-7-avantgarde-high-specs-hatchback/6584144,1699 cc,5,Black
https://www.carlist.my/used-cars/2008-bmw-525i-3-0-m-sport-sedan/6293839,2996 cc,5,Grey
https://www.carlist.my/used-cars/toyota-estima-2-4-mpv-8-seater/6650941,2362 cc,7,Silver
https://www.carlist.my/used-cars/2015-perodua-axia-1-0-with-full-service-record/6288523,998 cc,5,White
https://www.carlist.my/used-cars/2014-bmw-320i-sport-line-2-0-a-f30-m-performance-bodykit/6561146,1997 cc,5,Grey
https://www.carlist.my/used-cars/toyota-estima-2-4l-aeras-mpv-2-power-door-2012-2015/6659392,2362 cc,7,White
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-e-sedan/6636324,1497 cc,5,Silver
https://www.carlist.my/used-cars/honda-hr-v-1-8-i-vtec-v-suv-full-spec/6496817,1799 cc,5,White
https://www.carlist.my/used-cars/2015-honda-hr-v-1-8l-i-vtec-v-suv/6636299,1799 cc,5,Black
https://www.carlist.my/used-cars/2007-honda-city-1-5-i-dsi-sedan/6652839,1497 cc,5,White
https://www.carlist.my/used-cars/2013-toyota-hilux-2-5-vnt-pickup-truck-mt/6651190,2494 cc,2,Silver
https://www.carlist.my/used-cars/2015-honda-city-1-5-s-i-vtec-sedan/6584697,1497 cc,5,Silver
https://www.carlist.my/used-cars/2012-toyota-hilux-2-5-g/6529938,2494 cc,5,Silver
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768080,1497 cc,5,Silver
https://www.carlist.my/used-cars/1996-honda-accord-2-2-vti-sedan-true-year/5770470,2156 cc,5,Silver
https://www.carlist.my/used-cars/2003-toyota-vios-1-5-e-sedan/6005270,1496 cc,5,Gold
https://www.carlist.my/used-cars/2012-ford-fiesta-1-6-sport-hatchback-true-year/5770496,1596 cc,5,Green
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768179,1497 cc,5,Black
https://www.carlist.my/used-cars/2011-volkswagen-passat-1-8-tsi-sedan-true-year/5768168,1798 cc,5,Blue
https://www.carlist.my/used-cars/2013-proton-saga-1-3-flx-executive-sedan/5597063,1332 cc,5,White
https://www.carlist.my/used-cars/proton-saga-1-3-auto-executive-sedan/5206113,1332 cc,5,White
https://www.carlist.my/used-cars/2005-nissan-sentra-1-6-sg-l-sedan-true-year/5768361,1597 cc,5,Grey
https://www.carlist.my/used-cars/2015-toyota-innova-2-0-g-a/6660280,1998 cc,8,Silver
