id,model,make,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
6555771,E200K,Mercedes-Benz,2007,107500,Automatic,32999.0,1796,5,Silver,184.0,240.0,65.0,12746.230992
6555308,C200K,Mercedes-Benz,2004,122500,Automatic,21500.0,1796,5,Blue,163.0,240.0,62.0,11152.643328
6555277,2,Mazda,2017,62500,Automatic,59500.0,1496,5,Red,116.0,148.0,44.0,10763.928
6635009,Vios,Toyota,2014,102500,Automatic,49800.0,1497,5,White,109.0,141.0,42.0,11058.075
6649237,CR-V,Honda,2013,77500,Automatic,72800.0,1997,5,Grey,155.0,190.0,58.0,13938.1515
6555788,Civic,Honda,2013,87500,Automatic,54800.0,1798,5,Grey,141.0,174.0,50.0,11395.873125
6615243,Jazz,Honda,2016,52500,Automatic,54800.0,1497,5,Red,120.0,145.0,40.0,10210.44948
6543510,XC60,Volvo,2019,2500,Automatic,308888.0,1969,5,Black,320.0,400.0,50.0,14783.683008
6641257,Iriz,Proton,2016,22500,Automatic,29000.0,1597,5,Red,109.0,150.0,40.0,10489.87296
6652459,Huracan,Lamborghini,2014,3600,Automatic,1150000.0,5204,2,Silver,610.0,560.0,80.0,9994.67014
6359166,Sienta,Toyota,2018,47500,Automatic,69777.0,1496,7,Red,107.0,143.0,42.0,12167.260875
6639517,Camry,Toyota,2015,34000,Automatic,98800.0,2494,5,Grey,160.0,213.0,65.0,13011.3375
6499357,330i,BMW,2019,7500,Automatic,258800.0,1998,5,Blue,258.0,400.0,59.0,12345.797205
6688354,X1,BMW,2019,7500,Automatic,183800.0,1998,5,Black,192.0,280.0,51.0,13030.471428
6473631,ASX,Mitsubishi,2014,62500,Automatic,52800.0,1998,5,White,150.0,197.0,63.0,12277.47225
6569923,328i,BMW,2012,77500,Automatic,91800.0,1997,5,Black,245.0,350.0,60.0,11966.537456
6573321,528i,BMW,2015,52500,Automatic,146800.0,1997,5,White,245.0,350.0,70.0,13343.70324
6584166,C180K,Mercedes-Benz,2003,122500,Automatic,23888.0,1796,5,White,143.0,220.0,62.0,11152.643328
6293469,X5,BMW,2001,128800,Automatic,25888.0,2979,5,Black,231.0,300.0,93.0,14983.31016
6584144,A170,Mercedes-Benz,2005,152500,Automatic,18888.0,1699,5,Black,116.0,155.0,54.0,10784.979576
6293839,525i,BMW,2008,70000,Automatic,39999.0,2996,5,Grey,218.0,270.0,70.0,13118.761448
6650941,Estima,Toyota,2009,127500,Automatic,74800.0,2362,7,Silver,170.0,223.0,65.0,15061.095
6288523,Axia,Perodua,2015,72500,Automatic,22800.0,998,5,White,67.0,90.0,33.0,8904.168
6561146,320i,BMW,2014,72500,Automatic,91800.0,1997,5,Grey,184.0,270.0,60.0,11966.537456
6659392,Estima,Toyota,2012,72500,Automatic,113888.0,2362,7,White,170.0,223.0,65.0,15061.095
6636324,Vios,Toyota,2009,107500,Automatic,29000.0,1497,5,Silver,109.0,141.0,42.0,10672.6
6496817,HR-V,Honda,2015,42500,Automatic,69800.0,1799,5,White,143.0,172.0,50.0,12212.39364
6636299,HR-V,Honda,2015,42500,Automatic,68000.0,1799,5,Black,143.0,172.0,50.0,12212.39364
6652839,City,Honda,2007,187500,Automatic,18500.0,1497,5,White,90.0,131.0,42.0,11017.3635
6651190,Hilux,Toyota,2013,107500,Manual,58000.0,2494,2,Silver,144.0,343.0,76.0,16222.492
6584697,City,Honda,2015,32500,Automatic,49500.0,1497,5,Silver,120.0,145.0,40.0,11115.6066
6529938,Hilux,Toyota,2012,87500,Automatic,55800.0,2494,5,Silver,102.0,260.0,76.0,17856.385
5768080,Vios,Toyota,2009,82500,Manual,26800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
6005270,Vios,Toyota,2003,102500,Automatic,15800.0,1496,5,Gold,109.0,142.0,45.0,10422.512625
5770496,Fiesta,Ford,2012,72500,Automatic,26800.0,1596,5,Green,120.0,152.0,42.0,10032.8025
5768179,Vios,Toyota,2009,67500,Automatic,28800.0,1497,5,Black,109.0,141.0,42.0,10672.6
5768168,Passat,Volkswagen,2011,82500,Automatic,48800.0,1798,5,Blue,160.0,250.0,70.0,12758.9826
5597063,Saga,Proton,2013,67500,Automatic,17800.0,1332,5,White,95.0,120.0,40.0,10924.3008
5206113,Saga,Proton,2011,67500,Automatic,12800.0,1332,5,White,95.0,120.0,40.0,10924.3008
5768361,Sentra,Nissan,2005,82500,Automatic,14800.0,1597,5,Grey,118.0,143.0,50.0,11009.491125
6660280,Innova,Toyota,2015,97500,Automatic,61800.0,1998,8,Silver,136.0,182.0,55.0,14323.54
6495591,City,Honda,2015,62500,Automatic,57800.0,1497,5,Blue,120.0,145.0,40.0,11115.6066
6559721,City,Honda,2013,87500,Automatic,38800.0,1497,5,Grey,120.0,145.0,42.0,11000.63475
6471907,Vellfire,Toyota,2010,77500,Automatic,95000.0,2362,7,Silver,170.0,224.0,65.0,16774.695
6566987,C180 CGI,Mercedes-Benz,2010,87500,Automatic,56800.0,1797,5,Grey,156.0,250.0,66.0,11611.18584
6383470,Cerato,Kia,2014,92500,Automatic,50800.0,1999,5,White,160.0,194.0,50.0,11728.776
6135252,Corolla Altis,Toyota,2012,77500,Automatic,50800.0,1798,5,Silver,140.0,173.0,55.0,11705.936
6603732,Golf,Volkswagen,2013,55000,Automatic,58800.0,1395,5,Grey,140.0,250.0,50.0,11114.68974
6603730,Tiguan,Volkswagen,2017,60000,Automatic,103800.0,1395,5,Red,150.0,250.0,60.0,13801.838442
6603686,Corolla Altis,Toyota,2014,65000,Automatic,66800.0,1798,5,White,139.0,173.0,55.0,11979.4752
6650217,Passat,Volkswagen,2012,150000,Automatic,43800.0,1798,5,Silver,160.0,250.0,70.0,12758.9826
6597752,Polo,Volkswagen,2011,114000,Automatic,24800.0,1598,5,Blue,105.0,153.0,55.0,10919.377856
6597751,Alza,Perodua,2011,97500,Automatic,25800.0,1495,7,Silver,103.0,136.0,42.0,11546.5095
6597748,Myvi,Perodua,2013,78000,Automatic,30800.0,1495,5,Silver,103.0,136.0,40.0,9479.386125
6597745,Grandis,Mitsubishi,2010,108000,Automatic,43800.0,2378,7,Black,165.0,217.0,65.0,14140.651
6597746,Civic,Honda,2013,84000,Automatic,51800.0,1798,5,Silver,141.0,174.0,50.0,11395.873125
5986183,Jazz,Honda,2020,2500,Automatic,76128.0,1497,5,Unknown,120.0,145.0,40.0,11271.286488
6607076,S90,Volvo,2019,22500,Automatic,288888.0,1969,5,Black,325.0,400.0,50.0,13456.663311
6607063,S90,Volvo,2019,22500,Automatic,288888.0,1969,5,Black,325.0,400.0,50.0,13456.663311
6607070,S90,Volvo,2019,22500,Automatic,288888.0,1969,5,Black,325.0,400.0,50.0,13456.663311
6543536,XC60,Volvo,2019,2500,Automatic,308888.0,1969,5,Black,320.0,400.0,50.0,14783.683008
6543525,XC60,Volvo,2019,2500,Automatic,308888.0,1969,5,Black,320.0,400.0,50.0,14783.683008
6586857,C200,Mercedes-Benz,2019,7500,Automatic,218888.0,1497,5,Silver,184.0,280.0,66.0,12230.55372
5998837,Camry,Toyota,2010,117500,Automatic,45800.0,1998,5,White,147.0,190.0,70.0,12908.805
6576911,Alza,Perodua,2014,107500,Automatic,38800.0,1495,7,Silver,103.0,136.0,42.0,11724.993
