link,Bore(mm),Stroke(mm),Power(hp),Compression Ratio,Peak Torque(Nm),Length(mm),Width(mm),Height(mm),Fuel Tank (litres)
https://www.carlist.my/used-cars/2007-mercedes-benz-e200k-1-8-elegance-sedan-facelift-low-mileage-one-owner-call-now/6555771,82,85,184,9.5,240,4818,1822,1452,65
https://www.carlist.my/used-cars/2004-mercedes-benz-c200k-1-8-avantgarde-sedan-one-vip-owner-original-mileage-c200/6555308,82,85,163,9.5,240,4526,1728,1426,62
https://www.carlist.my/used-cars/2017-mazda-2-1-5-skyactiv-g-sedan-full-service-record-by-mazda-original-paint-full-leather-seat-full-spec-call-now/6555277,74.5,85.8,116,14,148,4320,1695,1470,44
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-a-e-spec/6635009,NA,NA,109,NA,141,4410,1700,1475,42
https://www.carlist.my/used-cars/2013-honda-cr-v-2-0-i-vtec-suv/6649237,81,96.9,155,10.6,190,4545,1820,1685,58
https://www.carlist.my/used-cars/2013-honda-civic-1-8-a-s-i-vtec-sedan/6555788,81,87.3,141,10.61,174,4525,1755,1435,50
https://www.carlist.my/used-cars/2016-honda-jazz-1-5-a-e-spec-full-service-honda/6615243,73,89.4,120,10.3,145,3955,1694,1524,40
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543510,82,93.2,320,10.3,400,4688,1902,1658,50
https://www.carlist.my/used-cars/2016-proton-iriz-1-6-premium-hatchback-only-21-000-kms/6641257,76,88,109,10,150,3920,1722,1554,40
https://www.carlist.my/used-cars/2014-lamborghini-huracan-5-2-lp610-4-coupe/6652459,84.5,92.8,610,12.7,560,4459,1924,1165,80
https://www.carlist.my/used-cars/2018-toyota-sienta-1-5-v-mpv-a-used-car/6359166,72.5,90.6,107,10.5,143,4235,1695,1695,42
https://www.carlist.my/used-cars/2015-toyota-camry-a-2-5-hybrid/6639517,NA,NA,160,NA,213,4850,1825,1470,65
https://www.carlist.my/used-cars/many-colour-unit-to-choose-superb-condition-2019-bmw-330i-2-0-m-sport-sedan-view-to-believe-no-hidden-info/6499357,82,94.6,258,10.2,400,4709,1827,1435,59
https://www.carlist.my/used-cars/under-warranty-genuine-low-mileage-2019-bmw-x1-2-0-sdrive20i-suv-ramathan-promotion/6688354,82,94.6,192,11,280,4439,1821,1612,51
https://www.carlist.my/used-cars/mitsubishi-asx-2-0-a-facelift-2014-2wd-suvs/6473631,86,86,150,10,197,4295,1770,1615,63
https://www.carlist.my/used-cars/bmw-328i-2-0-a-f30-2012-luxury-full-spec-free-one-year-warranty/6569923,84,90.1,245,10.01,350,4624,1811,1429,60
https://www.carlist.my/used-cars/bmw-528i-2-0-a-f10-lci-m-sport-twin-power-turbo-245hp-2015/6573321,84,90.1,245,10,350,4907,1860,1462,70
https://www.carlist.my/used-cars/2003-mercedes-benz-c180k-1-8-classic-sedan/6584166,82,85,143,10.2,220,4526,1728,1426,62
https://www.carlist.my/used-cars/2001-bmw-x5-3-0-suv/6293469,84,89.6,231,10.2,300,4667,1872,1715,93
https://www.carlist.my/used-cars/2005-mercedes-benz-a170-1-7-avantgarde-high-specs-hatchback/6584144,83,78.5,116,11,155,3838,1764,1593,54
https://www.carlist.my/used-cars/2008-bmw-525i-3-0-m-sport-sedan/6293839,NA,NA,218,NA,270,4841,1846,1468,70
https://www.carlist.my/used-cars/toyota-estima-2-4-mpv-8-seater/6650941,88.5,96,170,9.8,223,4795,1800,1745,65
https://www.carlist.my/used-cars/2015-perodua-axia-1-0-with-full-service-record/6288523,71,84,67,NA,90,3640,1620,1510,33
https://www.carlist.my/used-cars/2014-bmw-320i-sport-line-2-0-a-f30-m-performance-bodykit/6561146,NA,NA,184,11,270,4624,1811,1429,60
https://www.carlist.my/used-cars/toyota-estima-2-4l-aeras-mpv-2-power-door-2012-2015/6659392,88.5,96,170,9.8,223,4795,1800,1745,65
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-e-sedan/6636324,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/honda-hr-v-1-8-i-vtec-v-suv-full-spec/6496817,81,87.3,143,10.6,172,4294,1772,1605,50
https://www.carlist.my/used-cars/2015-honda-hr-v-1-8l-i-vtec-v-suv/6636299,81,87.3,143,10.6,172,4294,1772,1605,50
https://www.carlist.my/used-cars/2007-honda-city-1-5-i-dsi-sedan/6652839,73,89.4,90,10.5,131,4390,1690,1485,42
https://www.carlist.my/used-cars/2013-toyota-hilux-2-5-vnt-pickup-truck-mt/6651190,92,93.8,144,17.4,343,5135,1760,1795,76
https://www.carlist.my/used-cars/2015-honda-city-1-5-s-i-vtec-sedan/6584697,73,89.4,120,10.3,145,4440,1695,1477,40
https://www.carlist.my/used-cars/2012-toyota-hilux-2-5-g/6529938,92,93.8,102,18.51,260,5260,1835,1850,76
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768080,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/1996-honda-accord-2-2-vti-sedan-true-year/5770470,NA,NA,196,NA,198,NA,NA,,NA
https://www.carlist.my/used-cars/2003-toyota-vios-1-5-e-sedan/6005270,75,84.7,109,10.5,142,4285,1695,1435,45
https://www.carlist.my/used-cars/2012-ford-fiesta-1-6-sport-hatchback-true-year/5770496,79,81.4,120,11.1,152,3950,1722,1475,42
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768179,75,84.7,109,10.5,141,4300,1700,1460,42
https://www.carlist.my/used-cars/2011-volkswagen-passat-1-8-tsi-sedan-true-year/5768168,NA,NA,160,NA,250,4769,1820,1470,70
https://www.carlist.my/used-cars/2013-proton-saga-1-3-flx-executive-sedan/5597063,76,73.4,95,10,120,4278,1680,1520,40
https://www.carlist.my/used-cars/proton-saga-1-3-auto-executive-sedan/5206113,76,73.4,95,10.1,120,4278,1680,1520,40
https://www.carlist.my/used-cars/2005-nissan-sentra-1-6-sg-l-sedan-true-year/5768361,76,88,118,9.5,143,4495,1695,1445,50
https://www.carlist.my/used-cars/2015-toyota-innova-2-0-g-a/6660280,NA,NA,136,NA,182,4585,1775,1760,55
https://www.carlist.my/used-cars/2015-honda-city-1-5-v-i-vtec-a/6495591,73,89.4,120,10.3,145,4440,1695,1477,40
https://www.carlist.my/used-cars/2013-honda-city-1-5-s-modulo-i-vtec-a-facelift/6559721,73,89.4,120,10.41,145,4415,1695,1470,42
https://www.carlist.my/used-cars/2010-toyota-vellfire-2-4-v-mpv/6471907,88.5,96,170,9.81,224,4850,1830,1890,65
https://www.carlist.my/used-cars/mercedes-benz-c180-cgi-amg-1-8-a-cgi-paddle-shift-full-leather-seat-electric-seat-low-mileage-w204-c200-c250-brabus/6566987,NA,NA,156,NA,250,4581,1770,1432,66
https://www.carlist.my/used-cars/2014-kia-cerato-2-0-a/6383470,81,97,160,NA,194,4560,1780,1445,50
https://www.carlist.my/used-cars/2012-toyota-corolla-altis-1-8-g-a/6135252,NA,NA,140,NA,173,4540,1760,1465,NA
https://www.carlist.my/used-cars/2013-volkswagen-golf-1-4-tsi-a/6603732,NA,NA,140,NA,250,4255,1799,1452,50
https://www.carlist.my/used-cars/2017-volkswagen-tiguan-1-4-280-tsi-highline-a/6603730,74.5,80,150,10.5,250,4486,1839,1673,60
https://www.carlist.my/used-cars/2014-toyota-corolla-altis-1-8-e-a/6603686,NA,NA,139,NA,173,4620,1776,1460,55
https://www.carlist.my/used-cars/2012-volkswagen-passat-1-8-tsi-a/6650217,NA,NA,160,NA,250,4769,1820,1470,70
https://www.carlist.my/used-cars/2011-volkswagen-polo-1-6-a/6597752,NA,NA,105,NA,153,4384,1699,1466,55
https://www.carlist.my/used-cars/2011-perodua-alza-1-5-ezi-a/6597751,NA,NA,103,NA,136,4205,1695,1620,42
https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-a/6597748,72,91.8,103,10,136,3685,1665,1545,40
https://www.carlist.my/used-cars/2010-mitsubishi-grandis-2-4-a/6597745,87,100,165,9.5,217,4760,1795,1655,65
https://www.carlist.my/used-cars/2013-honda-civic-1-8-s-i-vtec-a/6597746,81,87.3,141,10.61,174,4525,1755,1435,50
https://www.carlist.my/used-cars/honda-penang-bm-2020-honda-jazz-1-5-e-i-vtec-a/5986183,73,89.4,120,10.3,145,3989,1694,1668,40
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607076,82,93.2,325,10.3,400,4963,1879,1443,50
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607063,82,93.2,325,10.3,400,4963,1879,1443,50
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607070,82,93.2,325,10.3,400,4963,1879,1443,50
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543536,82,93.2,320,10.3,400,4688,1902,1658,50
