,make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,length,width,height,fuel_tanks_litres,country
0,Mercedes-Benz,6555771,E200K,2007,107500.0,Automatic,32999.0,1796.0,5.0,Silver,184.0,240.0,4818.0,1822.0,1452.0,65.0,Germany
1,Mercedes-Benz,6555308,C200K,2004,122500.0,Automatic,21500.0,1796.0,5.0,Blue,163.0,240.0,4526.0,1728.0,1426.0,62.0,Germany
2,Mazda,6555277,2,2017,62500.0,Automatic,59500.0,1496.0,5.0,Red,116.0,148.0,4320.0,1695.0,1470.0,44.0,Japan
3,Toyota,6635009,Vios,2014,102500.0,Automatic,49800.0,1497.0,5.0,White,109.0,141.0,4410.0,1700.0,1475.0,42.0,Japan
4,Honda,6649237,CR-V,2013,77500.0,Automatic,72800.0,1997.0,5.0,Grey,155.0,190.0,4545.0,1820.0,1685.0,58.0,Japan
5,Honda,6555788,Civic,2013,87500.0,Automatic,54800.0,1798.0,5.0,Grey,141.0,174.0,4525.0,1755.0,1435.0,50.0,Japan
6,Honda,6615243,Jazz,2016,52500.0,Automatic,54800.0,1497.0,5.0,Red,120.0,145.0,3955.0,1694.0,1524.0,40.0,Japan
7,Volvo,6543510,XC60,2019,2500.0,Automatic,308888.0,1969.0,5.0,Black,320.0,400.0,4688.0,1902.0,1658.0,50.0,Sweden
8,Proton,6641257,Iriz,2016,22500.0,Automatic,29000.0,1597.0,5.0,Red,109.0,150.0,3920.0,1722.0,1554.0,40.0,Malaysia
9,Lamborghini,6652459,Huracan,2014,3600.0,Automatic,1150000.0,5204.0,2.0,Silver,610.0,560.0,4459.0,1924.0,1165.0,80.0,Italy
10,Toyota,6359166,Sienta,2018,47500.0,Automatic,69777.0,1496.0,7.0,Red,107.0,143.0,4235.0,1695.0,1695.0,42.0,Japan
11,Toyota,6639517,Camry,2015,34000.0,Automatic,98800.0,2494.0,5.0,Grey,160.0,213.0,4850.0,1825.0,1470.0,65.0,Japan
12,BMW,6499357,330i,2019,7500.0,Automatic,258800.0,1998.0,5.0,Blue,258.0,400.0,4709.0,1827.0,1435.0,59.0,Germany
13,BMW,6688354,X1,2019,7500.0,Automatic,183800.0,1998.0,5.0,Black,192.0,280.0,4439.0,1821.0,1612.0,51.0,Germany
14,Mitsubishi,6473631,ASX,2014,62500.0,Automatic,52800.0,1998.0,5.0,White,150.0,197.0,4295.0,1770.0,1615.0,63.0,Japan
15,BMW,6569923,328i,2012,77500.0,Automatic,91800.0,1997.0,5.0,Black,245.0,350.0,4624.0,1811.0,1429.0,60.0,Germany
16,BMW,6573321,528i,2015,52500.0,Automatic,146800.0,1997.0,5.0,White,245.0,350.0,4907.0,1860.0,1462.0,70.0,Germany
17,Mercedes-Benz,6584166,C180K,2003,122500.0,Automatic,23888.0,1796.0,5.0,White,143.0,220.0,4526.0,1728.0,1426.0,62.0,Germany
18,BMW,6293469,X5,2001,128800.0,Automatic,25888.0,2979.0,5.0,Black,231.0,300.0,4667.0,1872.0,1715.0,93.0,Germany
19,Mercedes-Benz,6584144,A170,2005,152500.0,Automatic,18888.0,1699.0,5.0,Black,116.0,155.0,3838.0,1764.0,1593.0,54.0,Germany
20,BMW,6293839,525i,2008,70000.0,Automatic,39999.0,2996.0,5.0,Grey,218.0,270.0,4841.0,1846.0,1468.0,70.0,Germany
21,Toyota,6650941,Estima,2009,127500.0,Automatic,74800.0,2362.0,7.0,Silver,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
22,Perodua,6288523,Axia,2015,72500.0,Automatic,22800.0,998.0,5.0,White,67.0,90.0,3640.0,1620.0,1510.0,33.0,Malaysia
23,BMW,6561146,320i,2014,72500.0,Automatic,91800.0,1997.0,5.0,Grey,184.0,270.0,4624.0,1811.0,1429.0,60.0,Germany
24,Toyota,6659392,Estima,2012,72500.0,Automatic,113888.0,2362.0,7.0,White,170.0,223.0,4795.0,1800.0,1745.0,65.0,Japan
25,Toyota,6636324,Vios,2009,107500.0,Automatic,29000.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
26,Honda,6496817,HR-V,2015,42500.0,Automatic,69800.0,1799.0,5.0,White,143.0,172.0,4294.0,1772.0,1605.0,50.0,Japan
27,Honda,6636299,HR-V,2015,42500.0,Automatic,68000.0,1799.0,5.0,Black,143.0,172.0,4294.0,1772.0,1605.0,50.0,Japan
28,Honda,6652839,City,2007,187500.0,Automatic,18500.0,1497.0,5.0,White,90.0,131.0,4390.0,1690.0,1485.0,42.0,Japan
29,Toyota,6651190,Hilux,2013,107500.0,Manual,58000.0,2494.0,2.0,Silver,144.0,343.0,5135.0,1760.0,1795.0,76.0,Japan
30,Honda,6584697,City,2015,32500.0,Automatic,49500.0,1497.0,5.0,Silver,120.0,145.0,4440.0,1695.0,1477.0,40.0,Japan
31,Toyota,6529938,Hilux,2012,87500.0,Automatic,55800.0,2494.0,5.0,Silver,102.0,260.0,5260.0,1835.0,1850.0,76.0,Japan
32,Toyota,5768080,Vios,2009,82500.0,Manual,26800.0,1497.0,5.0,Silver,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
33,Toyota,6005270,Vios,2003,102500.0,Automatic,15800.0,1496.0,5.0,Gold,109.0,142.0,4285.0,1695.0,1435.0,45.0,Japan
34,Ford,5770496,Fiesta,2012,72500.0,Automatic,26800.0,1596.0,5.0,Green,120.0,152.0,3950.0,1722.0,1475.0,42.0,USA
35,Toyota,5768179,Vios,2009,67500.0,Automatic,28800.0,1497.0,5.0,Black,109.0,141.0,4300.0,1700.0,1460.0,42.0,Japan
36,Volkswagen,5768168,Passat,2011,82500.0,Automatic,48800.0,1798.0,5.0,Blue,160.0,250.0,4769.0,1820.0,1470.0,70.0,Germany
37,Proton,5597063,Saga,2013,67500.0,Automatic,17800.0,1332.0,5.0,White,95.0,120.0,4278.0,1680.0,1520.0,40.0,Malaysia
38,Proton,5206113,Saga,2011,67500.0,Automatic,12800.0,1332.0,5.0,White,95.0,120.0,4278.0,1680.0,1520.0,40.0,Malaysia
39,Nissan,5768361,Sentra,2005,82500.0,Automatic,14800.0,1597.0,5.0,Grey,118.0,143.0,4495.0,1695.0,1445.0,50.0,Japan
