link,Price
https://www.carlist.my/used-cars/2007-mercedes-benz-e200k-1-8-elegance-sedan-facelift-low-mileage-one-owner-call-now/6555771,"RM 32,999"
https://www.carlist.my/used-cars/2004-mercedes-benz-c200k-1-8-avantgarde-sedan-one-vip-owner-original-mileage-c200/6555308,"RM 21,500"
https://www.carlist.my/used-cars/2017-mazda-2-1-5-skyactiv-g-sedan-full-service-record-by-mazda-original-paint-full-leather-seat-full-spec-call-now/6555277,"RM 59,500"
https://www.carlist.my/used-cars/2014-toyota-vios-1-5-a-e-spec/6635009,"RM 49,800"
https://www.carlist.my/used-cars/2013-honda-cr-v-2-0-i-vtec-suv/6649237,"RM 72,800"
https://www.carlist.my/used-cars/2013-honda-civic-1-8-a-s-i-vtec-sedan/6555788,"RM 54,800"
https://www.carlist.my/used-cars/2016-honda-jazz-1-5-a-e-spec-full-service-honda/6615243,"RM 54,800"
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543510,"RM 308,888"
https://www.carlist.my/used-cars/2016-proton-iriz-1-6-premium-hatchback-only-21-000-kms/6641257,"RM 29,000"
https://www.carlist.my/used-cars/2014-lamborghini-huracan-5-2-lp610-4-coupe/6652459,"RM 1,150,000"
https://www.carlist.my/used-cars/2018-toyota-sienta-1-5-v-mpv-a-used-car/6359166,"RM 69,777"
https://www.carlist.my/used-cars/2015-toyota-camry-a-2-5-hybrid/6639517,"RM 98,800"
https://www.carlist.my/used-cars/many-colour-unit-to-choose-superb-condition-2019-bmw-330i-2-0-m-sport-sedan-view-to-believe-no-hidden-info/6499357,"RM 258,800"
https://www.carlist.my/used-cars/under-warranty-genuine-low-mileage-2019-bmw-x1-2-0-sdrive20i-suv-ramathan-promotion/6688354,"RM 183,800"
https://www.carlist.my/used-cars/mitsubishi-asx-2-0-a-facelift-2014-2wd-suvs/6473631,"RM 52,800"
https://www.carlist.my/used-cars/bmw-328i-2-0-a-f30-2012-luxury-full-spec-free-one-year-warranty/6569923,"RM 91,800"
https://www.carlist.my/used-cars/bmw-528i-2-0-a-f10-lci-m-sport-twin-power-turbo-245hp-2015/6573321,"RM 146,800"
https://www.carlist.my/used-cars/2003-mercedes-benz-c180k-1-8-classic-sedan/6584166,"RM 23,888"
https://www.carlist.my/used-cars/2001-bmw-x5-3-0-suv/6293469,"RM 25,888"
https://www.carlist.my/used-cars/2005-mercedes-benz-a170-1-7-avantgarde-high-specs-hatchback/6584144,"RM 18,888"
https://www.carlist.my/used-cars/2008-bmw-525i-3-0-m-sport-sedan/6293839,"RM 39,999"
https://www.carlist.my/used-cars/toyota-estima-2-4-mpv-8-seater/6650941,"RM 74,800"
https://www.carlist.my/used-cars/2015-perodua-axia-1-0-with-full-service-record/6288523,"RM 22,800"
https://www.carlist.my/used-cars/2014-bmw-320i-sport-line-2-0-a-f30-m-performance-bodykit/6561146,"RM 91,800"
https://www.carlist.my/used-cars/toyota-estima-2-4l-aeras-mpv-2-power-door-2012-2015/6659392,"RM 113,888"
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-e-sedan/6636324,"RM 29,000"
https://www.carlist.my/used-cars/honda-hr-v-1-8-i-vtec-v-suv-full-spec/6496817,"RM 69,800"
https://www.carlist.my/used-cars/2015-honda-hr-v-1-8l-i-vtec-v-suv/6636299,"RM 68,000"
https://www.carlist.my/used-cars/2007-honda-city-1-5-i-dsi-sedan/6652839,"RM 18,500"
https://www.carlist.my/used-cars/2013-toyota-hilux-2-5-vnt-pickup-truck-mt/6651190,"RM 58,000"
https://www.carlist.my/used-cars/2015-honda-city-1-5-s-i-vtec-sedan/6584697,"RM 49,500"
https://www.carlist.my/used-cars/2012-toyota-hilux-2-5-g/6529938,"RM 55,800"
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768080,"RM 26,800"
https://www.carlist.my/used-cars/1996-honda-accord-2-2-vti-sedan-true-year/5770470,"RM 7,800"
https://www.carlist.my/used-cars/2003-toyota-vios-1-5-e-sedan/6005270,"RM 15,800"
https://www.carlist.my/used-cars/2012-ford-fiesta-1-6-sport-hatchback-true-year/5770496,"RM 26,800"
https://www.carlist.my/used-cars/2009-toyota-vios-1-5-j-sedan-true-year/5768179,"RM 28,800"
https://www.carlist.my/used-cars/2011-volkswagen-passat-1-8-tsi-sedan-true-year/5768168,"RM 48,800"
https://www.carlist.my/used-cars/2013-proton-saga-1-3-flx-executive-sedan/5597063,"RM 17,800"
https://www.carlist.my/used-cars/proton-saga-1-3-auto-executive-sedan/5206113,"RM 12,800"
https://www.carlist.my/used-cars/2005-nissan-sentra-1-6-sg-l-sedan-true-year/5768361,"RM 14,800"
https://www.carlist.my/used-cars/2015-toyota-innova-2-0-g-a/6660280,"RM 61,800"
https://www.carlist.my/used-cars/2015-honda-city-1-5-v-i-vtec-a/6495591,"RM 57,800"
https://www.carlist.my/used-cars/2013-honda-city-1-5-s-modulo-i-vtec-a-facelift/6559721,"RM 38,800"
https://www.carlist.my/used-cars/2010-toyota-vellfire-2-4-v-mpv/6471907,"RM 95,000"
https://www.carlist.my/used-cars/mercedes-benz-c180-cgi-amg-1-8-a-cgi-paddle-shift-full-leather-seat-electric-seat-low-mileage-w204-c200-c250-brabus/6566987,"RM 56,800"
https://www.carlist.my/used-cars/2014-kia-cerato-2-0-a/6383470,"RM 50,800"
https://www.carlist.my/used-cars/2012-toyota-corolla-altis-1-8-g-a/6135252,"RM 50,800"
https://www.carlist.my/used-cars/2013-volkswagen-golf-1-4-tsi-a/6603732,"RM 58,800"
https://www.carlist.my/used-cars/2017-volkswagen-tiguan-1-4-280-tsi-highline-a/6603730,"RM 103,800"
https://www.carlist.my/used-cars/2014-toyota-corolla-altis-1-8-e-a/6603686,"RM 66,800"
https://www.carlist.my/used-cars/2012-volkswagen-passat-1-8-tsi-a/6650217,"RM 43,800"
https://www.carlist.my/used-cars/2011-volkswagen-polo-1-6-a/6597752,"RM 24,800"
https://www.carlist.my/used-cars/2011-perodua-alza-1-5-ezi-a/6597751,"RM 25,800"
https://www.carlist.my/used-cars/2013-perodua-myvi-1-5-se-a/6597748,"RM 30,800"
https://www.carlist.my/used-cars/2010-mitsubishi-grandis-2-4-a/6597745,"RM 43,800"
https://www.carlist.my/used-cars/2013-honda-civic-1-8-s-i-vtec-a/6597746,"RM 51,800"
https://www.carlist.my/used-cars/honda-penang-bm-2020-honda-jazz-1-5-e-i-vtec-a/5986183,"RM 76,128"
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607076,"RM 288,888"
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607063,"RM 288,888"
https://www.carlist.my/used-cars/2019-volvo-s90-2-0-t8-inscription-plus-a-demo-car/6607070,"RM 288,888"
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543536,"RM 308,888"
https://www.carlist.my/used-cars/2019-volvo-xc60-2-0-t8-inscription-plus-a-demo-car/6543525,"RM 308,888"
https://www.carlist.my/used-cars/pre-registered-2019-mercedes-benz-c200-fl/6586857,"RM 218,888"
https://www.carlist.my/used-cars/2010-toyota-camry-2-0-e-a-facelift/5998837,"RM 45,800"
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-se-a-facelift/6576911,"RM 38,800"
https://www.carlist.my/used-cars/2013-mazda-6-2-0-skyactiv-g-a-facelift/6599927,"RM 65,800"
https://www.carlist.my/used-cars/2018-bmw-x3-2-0-xdrive30i-luxury-suv/6350315,"RM 238,800"
https://www.carlist.my/used-cars/toyota-vellfire-2-4-a-z-platinum-mpv-2power-door-power-boot-reverse-camera-7-seater/5860182,"RM 108,800"
https://www.carlist.my/used-cars/2019-bmw-330e-2-0-m-sport-sedan/6502400,"RM 193,800"
https://www.carlist.my/used-cars/2019-bmw-330e-2-0-m-sport-sedan/6651890,"RM 185,800"
https://www.carlist.my/used-cars/2016-bmw-740li-3-0-sedan/6350377,"RM 318,800"
https://www.carlist.my/used-cars/2019-bmw-330i-2-0-m-sport-sedan-cbu-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652643,"RM 265,800"
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653107,"RM 270,800"
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6653298,"RM 408,800"
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-many-colour-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply-pre-reg/6652765,"RM 323,800"
https://www.carlist.my/used-cars/2019-bmw-530i-2-0-m-sport-sedan-few-colours-unit-to-choose-and-come-with-6-years-free-maintenance-t-c-apply/6657098,"RM 304,800"
https://www.carlist.my/used-cars/2018-mercedes-benz-e300-2-0-amg-sedan/6655276,"RM 288,800"
https://www.carlist.my/used-cars/2019-bmw-740le-2-0-xdrive-sedan-white-black-and-come-with-6-years-free-maintenance-t-c-apply/6657173,"RM 400,800"
https://www.carlist.my/used-cars/2019-bmw-530e-2-0-m-sport-sedan-and-come-with-6-years-free-maintenance-t-c-apply/6657200,"RM 264,800"
https://www.carlist.my/used-cars/2013-mercedes-benz-w212-e250-2-0l-a-avantgarde-sedan-facelift-model-like-new-condition/6445340,"RM 145,600"
https://www.carlist.my/used-cars/2015-bmw-428i-2-0l-m-sport-2-door-coupe-local-malaysia-m-performance-lips-and-spoiler/6573826,"RM 186,600"
https://www.carlist.my/used-cars/2015-mini-cooper-2-door-1-5l-a-local-cbu-low-mileage-all-original-like-new-condition/6546048,"RM 112,600"
https://www.carlist.my/used-cars/2012-toyota-vellfire-2-4l-a-new-facelift-vvti-a-2-power-door-genuine-low-mileage/6656184,"RM 117,600"
https://www.carlist.my/used-cars/2005-perodua-kenari-1-0-gx-m/6646798,"RM 12,000"
https://www.carlist.my/used-cars/2011-toyota-vios-1-5-e-a/6646797,"RM 37,000"
https://www.carlist.my/used-cars/2019-perodua-axia-1-0-a/6646791,"RM 31,000"
https://www.carlist.my/used-cars/2014-perodua-alza-1-5-advance-a/6646790,"RM 43,000"
https://www.carlist.my/used-cars/2002-proton-wira-1-5-a/6646788,"RM 7,000"
