make,id,model,year,mileage_kms,transmission,price,engine_capacity,seat_capacity,colour,power_hp,peak_torque_nm,fuel_tanks_litres,dimension
Mercedes-Benz,6555771,E200K,2007,107500,Automatic,32999.0,1796,5,Silver,184.0,240.0,65.0,12746.230992
Mercedes-Benz,6555308,C200K,2004,122500,Automatic,21500.0,1796,5,Blue,163.0,240.0,62.0,11152.643328
Mazda,6555277,2,2017,62500,Automatic,59500.0,1496,5,Red,116.0,148.0,44.0,10763.928
Toyota,6635009,Vios,2014,102500,Automatic,49800.0,1497,5,White,109.0,141.0,42.0,11058.075
Honda,6649237,CR-V,2013,77500,Automatic,72800.0,1997,5,Grey,155.0,190.0,58.0,13938.1515
Honda,6555788,Civic,2013,87500,Automatic,54800.0,1798,5,Grey,141.0,174.0,50.0,11395.873125
Honda,6615243,Jazz,2016,52500,Automatic,54800.0,1497,5,Red,120.0,145.0,40.0,10210.44948
Volvo,6543510,XC60,2019,2500,Automatic,308888.0,1969,5,Black,320.0,400.0,50.0,14783.683008000002
Proton,6641257,Iriz,2016,22500,Automatic,29000.0,1597,5,Red,109.0,150.0,40.0,10489.872959999999
Lamborghini,6652459,Huracan,2014,3600,Automatic,1150000.0,5204,2,Silver,610.0,560.0,80.0,9994.67014
Toyota,6359166,Sienta,2018,47500,Automatic,69777.0,1496,7,Red,107.0,143.0,42.0,12167.260875
Toyota,6639517,Camry,2015,34000,Automatic,98800.0,2494,5,Grey,160.0,213.0,65.0,13011.3375
BMW,6499357,330i,2019,7500,Automatic,258800.0,1998,5,Blue,258.0,400.0,59.0,12345.797204999999
BMW,6688354,X1,2019,7500,Automatic,183800.0,1998,5,Black,192.0,280.0,51.0,13030.471428
Mitsubishi,6473631,ASX,2014,62500,Automatic,52800.0,1998,5,White,150.0,197.0,63.0,12277.47225
BMW,6569923,328i,2012,77500,Automatic,91800.0,1997,5,Black,245.0,350.0,60.0,11966.537456
BMW,6573321,528i,2015,52500,Automatic,146800.0,1997,5,White,245.0,350.0,70.0,13343.70324
Mercedes-Benz,6584166,C180K,2003,122500,Automatic,23888.0,1796,5,White,143.0,220.0,62.0,11152.643328
BMW,6293469,X5,2001,128800,Automatic,25888.0,2979,5,Black,231.0,300.0,93.0,14983.310159999999
Mercedes-Benz,6584144,A170,2005,152500,Automatic,18888.0,1699,5,Black,116.0,155.0,54.0,10784.979576
BMW,6293839,525i,2008,70000,Automatic,39999.0,2996,5,Grey,218.0,270.0,70.0,13118.761448000001
Toyota,6650941,Estima,2009,127500,Automatic,74800.0,2362,7,Silver,170.0,223.0,65.0,15061.095
Perodua,6288523,Axia,2015,72500,Automatic,22800.0,998,5,White,67.0,90.0,33.0,8904.168
BMW,6561146,320i,2014,72500,Automatic,91800.0,1997,5,Grey,184.0,270.0,60.0,11966.537456
Toyota,6659392,Estima,2012,72500,Automatic,113888.0,2362,7,White,170.0,223.0,65.0,15061.095
Toyota,6636324,Vios,2009,107500,Automatic,29000.0,1497,5,Silver,109.0,141.0,42.0,10672.6
Honda,6496817,HR-V,2015,42500,Automatic,69800.0,1799,5,White,143.0,172.0,50.0,12212.39364
Honda,6636299,HR-V,2015,42500,Automatic,68000.0,1799,5,Black,143.0,172.0,50.0,12212.39364
Honda,6652839,City,2007,187500,Automatic,18500.0,1497,5,White,90.0,131.0,42.0,11017.3635
Toyota,6651190,Hilux,2013,107500,Manual,58000.0,2494,2,Silver,144.0,343.0,76.0,16222.492
Honda,6584697,City,2015,32500,Automatic,49500.0,1497,5,Silver,120.0,145.0,40.0,11115.6066
Toyota,6529938,Hilux,2012,87500,Automatic,55800.0,2494,5,Silver,102.0,260.0,76.0,17856.385
Toyota,5768080,Vios,2009,82500,Manual,26800.0,1497,5,Silver,109.0,141.0,42.0,10672.6
Toyota,6005270,Vios,2003,102500,Automatic,15800.0,1496,5,Gold,109.0,142.0,45.0,10422.512625
Ford,5770496,Fiesta,2012,72500,Automatic,26800.0,1596,5,Green,120.0,152.0,42.0,10032.8025
Toyota,5768179,Vios,2009,67500,Automatic,28800.0,1497,5,Black,109.0,141.0,42.0,10672.6
Volkswagen,5768168,Passat,2011,82500,Automatic,48800.0,1798,5,Blue,160.0,250.0,70.0,12758.9826
Proton,5597063,Saga,2013,67500,Automatic,17800.0,1332,5,White,95.0,120.0,40.0,10924.3008
Proton,5206113,Saga,2011,67500,Automatic,12800.0,1332,5,White,95.0,120.0,40.0,10924.3008
Nissan,5768361,Sentra,2005,82500,Automatic,14800.0,1597,5,Grey,118.0,143.0,50.0,11009.491125
Toyota,6660280,Innova,2015,97500,Automatic,61800.0,1998,8,Silver,136.0,182.0,55.0,14323.54
Honda,6495591,City,2015,62500,Automatic,57800.0,1497,5,Blue,120.0,145.0,40.0,11115.6066
Honda,6559721,City,2013,87500,Automatic,38800.0,1497,5,Grey,120.0,145.0,42.0,11000.63475
Toyota,6471907,Vellfire,2010,77500,Automatic,95000.0,2362,7,Silver,170.0,224.0,65.0,16774.695
Mercedes-Benz,6566987,C180 CGI,2010,87500,Automatic,56800.0,1797,5,Grey,156.0,250.0,66.0,11611.18584
Kia,6383470,Cerato,2014,92500,Automatic,50800.0,1999,5,White,160.0,194.0,50.0,11728.776000000002
Toyota,6135252,Corolla Altis,2012,77500,Automatic,50800.0,1798,5,Silver,140.0,173.0,55.0,11705.936000000002
Volkswagen,6603732,Golf,2013,55000,Automatic,58800.0,1395,5,Grey,140.0,250.0,50.0,11114.68974
Volkswagen,6603730,Tiguan,2017,60000,Automatic,103800.0,1395,5,Red,150.0,250.0,60.0,13801.838441999998
Toyota,6603686,Corolla Altis,2014,65000,Automatic,66800.0,1798,5,White,139.0,173.0,55.0,11979.4752
Volkswagen,6650217,Passat,2012,150000,Automatic,43800.0,1798,5,Silver,160.0,250.0,70.0,12758.9826
Volkswagen,6597752,Polo,2011,114000,Automatic,24800.0,1598,5,Blue,105.0,153.0,55.0,10919.377856000001
Perodua,6597751,Alza,2011,97500,Automatic,25800.0,1495,7,Silver,103.0,136.0,42.0,11546.5095
